Resultados Elecciones Generales Presidenciales 2021 - 

"LIMA > LIMA > MIRAFLORES"
""
""
"Electores hábiles","Participación ciudadana","(%)Participación Ciudadana"
"133,429","82,199","61.605"
""
""
" ","Organización Política","Porcentaje Válidos"
"PARTIDO NACIONALISTA PERUANO","267","0.350"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","84","0.110"
"PARTIDO MORADO","5,151","6.761"
"PERU PATRIA SEGURA","189","0.248"
"VICTORIA NACIONAL","3,195","4.194"
"ACCION POPULAR","3,652","4.794"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","23,927","31.407"
"PODEMOS PERU","1,331","1.747"
"JUNTOS POR EL PERU","8,446","11.086"
"PARTIDO POPULAR CRISTIANO - PPC","3,064","4.022"
"FUERZA POPULAR","5,216","6.847"
"UNION POR EL PERU","102","0.134"
"RENOVACION POPULAR","19,086","25.053"
"RENACIMIENTO UNIDO NACIONAL","117","0.154"
"PARTIDO DEMOCRATICO SOMOS PERU","702","0.921"
"PARTIDO POLITICO NACIONAL PERU LIBRE","901","1.183"
"DEMOCRACIA DIRECTA","74","0.097"
"ALIANZA PARA EL PROGRESO","679","0.891"
"TOTAL DE VOTOS VÁLIDOS","76,183","100.000"
"VOTOS EN BLANCO","2,907",""
"VOTOS NULOS","3,109",""
"TOTAL DE VOTOS EMITIDOS","82,199",""
""
""
"Actas","Actas Procesadas 100.000%","Actas Enviadas al JNE"
"445","445","0"
""
""
"MESAS A INSTALAR"
"MESAS INSTALADAS(N)","MESAS NO INSTALADAS(O)","MESAS POR INFORMAR(P)"
"445","0","0"
""
""
"ACTAS A RESOLVER POR EL AL JNE"
"Con Votos Impugnados","Con Error Material","Con Ilegibilidad","Incompleta","Con Solicitud de Nulidad","Acta sin datos","Acta Extraviada","Acta Siniestrada","Acta sin Firmas","Con más de un tipo de Observación"
"0","0","0","0","0","0","0","0","0","0"
""
""
"ANULADAS POR RESOLUCIÓN"
"CONTALIZABILIZADAS ANULADAS(L)","ACTAS DE MESAS NO INSTALADAS(M)"
"7","0"
""
""
"ACTAS POR PROCESAR(0.000)%"
"0"
""
""
